#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
3,VenusaurMega Venusaur,Grass,Poison,625,80,100,123,122,120,80,1,FALSE
6,CharizardMega Charizard X,Fire,Dragon,634,78,130,111,130,85,100,1,FALSE
6,CharizardMega Charizard Y,Fire,Flying,634,78,104,78,159,115,100,1,FALSE
9,BlastoiseMega Blastoise,Water,None,630,79,103,120,135,115,78,1,FALSE
15,BeedrillMega Beedrill,Bug,Poison,495,65,150,40,15,80,145,1,FALSE
28,Sandslash,Ground,None,450,75,100,110,45,55,65,1,FALSE
34,Nidoking,Poison,Ground,505,81,102,77,85,75,85,1,FALSE
57,Primeape,Fighting,None,455,65,105,60,60,70,95,1,FALSE
59,Arcanine,Fire,None,555,90,110,80,100,80,95,1,FALSE
67,Machoke,Fighting,None,405,80,100,70,50,60,45,1,FALSE
68,Machamp,Fighting,None,505,90,130,80,65,85,55,1,FALSE
71,Victreebel,Grass,Poison,490,80,105,65,100,70,70,1,FALSE
76,Golem,Rock,Ground,495,80,120,130,55,65,45,1,FALSE
78,Rapidash,Fire,None,500,65,100,70,80,80,105,1,FALSE
85,Dodrio,Normal,Flying,460,60,110,70,60,60,100,1,FALSE
89,Muk,Poison,None,500,105,105,75,65,100,50,1,FALSE
98,Krabby,Water,None,325,30,105,90,25,25,50,1,FALSE
99,Kingler,Water,None,475,55,130,115,50,50,75,1,FALSE
106,Hitmonlee,Fighting,None,455,50,120,53,35,110,87,1,FALSE
112,Rhydon,Ground,Rock,485,105,130,120,45,45,40,1,FALSE
115,KangaskhanMega Kangaskhan,Normal,None,590,105,125,100,60,100,100,1,FALSE
123,Scyther,Bug,Flying,500,70,110,80,55,80,105,1,FALSE
127,Pinsir,Bug,None,500,65,125,100,55,70,85,1,FALSE
127,PinsirMega Pinsir,Bug,Flying,600,65,155,120,65,90,105,1,FALSE
130,Gyarados,Water,Flying,540,95,125,79,60,100,81,1,FALSE
130,GyaradosMega Gyarados,Water,Dark,640,95,155,109,70,130,81,1,FALSE
136,Flareon,Fire,None,525,65,130,60,95,110,65,1,FALSE
141,Kabutops,Rock,Water,495,60,115,105,65,70,80,1,FALSE
142,Aerodactyl,Rock,Flying,515,80,105,65,60,75,130,1,FALSE
142,AerodactylMega Aerodactyl,Rock,Flying,615,80,135,85,70,95,150,1,FALSE
143,Snorlax,Normal,None,540,160,110,65,65,110,30,1,FALSE
146,Moltres,Fire,Flying,580,90,100,90,125,85,90,1,TRUE
149,Dragonite,Dragon,Flying,600,91,134,95,100,100,80,1,FALSE
